TOKEN	MORPH	SEG_BME	LABEL
tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
pasakuyarqaa	['pasa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
tardina	['tardi', 'na']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Acp']
tsaypis	['Tsay']	['D', 'M', 'M', 'F']	['PRON']
naanikuna	['naani', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
sellama	['sellama']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
mitu	['mitu']	['D', 'M', 'M', 'F']	['N']
karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
pulla	['Pulla']	['D', 'M', 'M', 'M', 'F']	['N']
paqasmi	['paqas', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Asrt']
chaayarqaa	['cha', 'cha', 'cha', 'cha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1']
wanukuman	['Wanuku', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
chaariyarqaa	['chaa', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
punuyarqaa	['punu', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
i	['I']	['U']	['CCONJ']
waraarayaamurqaa	['waraa', 'ra', 'yaa', 'mu', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Cis', 'Pst', '1']
sabaduman	['sabadu', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
tamyakuykaptin	['tamya', 'ku', 'yka', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Prog', 'Cnv', 'Poss.3']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
relihyon	['relihyon']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
wiyaytapis	['wiya', 'y', 'ta', 'pis']	['D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Inf', 'Obj', 'Coord']
munayantsu	['muna', 'ya', 'n', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', '3', 'Neg']
domingunam	['Domingu', 'na', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Acp', 'Asrt']
hamayarqaa	['hama', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
pasakuyarqaa	['pasa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
kasi	['Kasi']	['D', 'M', 'M', 'F']	['ADV']
ampiirirqanna	['ampiiri', 'rqa', 'n', 'na']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Pst', '3', 'Acp']
ni	['Ni']	['D', 'F']	['ADV']
maychaw	['may', 'chaw']	['D', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
tariyarqaatsu	['tari', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
nuqakunapis	['nuqakuna', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
llakiyarqaa	['llaki', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
kisaachi	['kisaa', 'chi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Conjc']
familyantsikkuna	['familya', 'ntsik', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Poss.1Pl.Inc', 'Pl']
dañakushqa	['daña', 'ku', 'shqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['V', 'Refl/Mid', 'Prf']
o	['o']	['U']	['CCONJ']
wanushqa	['wanu', 'shqa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Prf']
kaykan	['ka', 'yka', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Prog', '3']
chirapa	['Chirapa']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
tamyatam	['tamya', 'ta', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Obj', 'Asrt']
prosesyon	['prosesyon']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
tumaykurqan	['tuma', 'yku', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pst', '3']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
nuqakunatapis	['nuqakuna', 'ta', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Obj', 'Coord']
qayayaamarqan	['qaya', 'yaa', 'ma', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', '1.Obj', 'Pst', '3']
tsaychaw	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
kimaqmi	['kimaq', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['NUM.Ptv', 'Asrt']
aaniyaamarqan	['aani', 'yaa', 'ma', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', '1.Obj', 'Pst', '3']
wanukuman	['Wanuku', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
shayaamunanpaq	['sha', 'sha', 'sha', 'sha', 'sha', 'sha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Cis', 'Pot', 'Poss.3', 'Ben']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
karupis	['karu', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Coord']
kantsu	['ka', 'n', 'tsu']	['D', 'F', 'U', 'D', 'M', 'F']	['AUX', '3', 'Neg']
pacha	['Pacha']	['D', 'M', 'M', 'M', 'F']	['N']
nanayllawan	['nana', 'y', 'lla', 'wan']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Inf', 'Lim', 'Com']
wanurillaanaq	['wanu', 'ri', 'llaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pct', 'Lim', 'Rpst']
pachaa	['Pacha', 'a']	['D', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.1Sg']
waqaptin	['waqa', 'pti', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Cnv', 'Poss.3']
inmedyatamente	['inmedyatamente']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
merkaduman	['merkadu', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
mikuyarqaa	['miku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
tsayllanam	['Tsay', 'lla', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Lim', 'Acp', 'Asrt']
las	['las']	['D', 'M', 'F']	['DET']
tres	['tres']	['D', 'M', 'M', 'F']	['NUM.Card']
karirqan	['ka', 'ri', 'rqa', 'n']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pct', 'Pst', '3']
tsaychaw	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
hamakuriykur	['hama', 'ku', 'ri', 'yku', 'r']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pct', 'Intens', 'Cnv']
aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
parokyaman	['parokya', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
i	['I']	['U']	['CCONJ']
porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
chaariyarqaa	['chaa', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
pasakurnam	['Pasa', 'ku', 'r', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['VInt', 'Refl/Mid', 'Cnv', 'Acp', 'Asrt']
taririyaa	['tari', 'ri', 'ya', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', '1']
mas	['mas']	['D', 'M', 'F']	['ADV']
nunakunata	['nuna', 'kuna', 'ta']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
tsaypitanam	['Tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
pasakuyarqaa	['pasa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
mas	['mas']	['D', 'M', 'F']	['ADV']
karutana	['karu', 'ta', 'na']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Acp']
tsaychawpis	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
nunakunaqa	['nuna', 'kuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Top']
aaniyaamarqanmi	['aani', 'yaa', 'ma', 'rqa', 'n', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Pl', '1.Obj', 'Pst', '3', 'Asrt']
wanukuta	['Wanuku', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Obj']
shayaamunanpaq	['sha', 'sha', 'sha', 'sha', 'sha', 'sha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Cis', 'Pot', 'Poss.3', 'Ben']
qillayllapaq	['Qillay', 'lla', 'paq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['N', 'Lim', 'Ben']
imatapis	['ima', 'ta']	['D', 'M', 'F', 'D', 'F']	['PRON', 'Obj']
rurayan	['rura', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '3']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
punuyarqaa	['punu', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
kushishqam	['Kushi', 'shqa', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['VInt', 'Prf', 'Asrt']
chaskiyaamarqan	['chaski', 'yaa', 'ma', 'rqa', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', '1.Obj', 'Pst', '3']
tsaychawqa	['Tsay', 'chaw', 'qa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Top']
taririyarqaa	['tari', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
i	['I']	['U']	['CCONJ']
porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
tariyarqaa	['tari', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
naani	['Naani']	['D', 'M', 'M', 'M', 'F']	['N']
pasanallachawmi	['pasa', 'na', 'lla', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['VInt', 'Pot', 'Lim', 'Loc', 'Asrt']
eskwela	['eskwela']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
tsaychawnam	['Tsay', 'chaw', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Loc', 'Acp', 'Asrt']
alalaptin	['alala', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Cnv', 'Poss.3']
quñukushpa	['quñu', 'ku', 'shpa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['V', 'Refl/Mid', 'Grd']
hamakuyarqaa	['hama', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
i	['I']	['U']	['CCONJ']
tsayllana	['tsay', 'lla', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON', 'Lim', 'Acp']
ampiirin	['ampiiri', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U']	['VInt', '3']
tamyaqa	['Tamya', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
pasaykun	['pasa', 'yku', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Intens', '3']
kasi	['kasi']	['D', 'M', 'M', 'F']	['ADV']
las	['las']	['D', 'M', 'F']	['DET']
onsina	['onsi', 'na']	['D', 'M', 'M', 'F', 'D', 'F']	['NUM.Card', 'Acp']
tardinam	['Tardi', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Acp', 'Asrt']
kutiyarqaa	['kuti', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
wanukuman	['Wanuku', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
i	['I']	['U']	['CCONJ']
domingunam	['domingu', 'na', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Acp', 'Asrt']
hamayarqaa	['hama', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
unay	['Unay']	['D', 'M', 'M', 'F']	['N']
taakuyarqaa	['taa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
imallatapis	['ima', 'lla', 'ta']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON', 'Lim', 'Obj']
parlakurnin	['parla', 'ku', 'r', 'ni', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['VInt', 'Refl/Mid', 'Cnv', 'Poss.3']
nuqakuna	['Nuqakuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PRON.Prs']
mas	['mas']	['D', 'M', 'F']	['ADV']
purir	['puri', 'r']	['D', 'M', 'M', 'F', 'U']	['VInt', 'Cnv']
limpunam	['limpu', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['ADV', 'Acp', 'Asrt']
utikuykuyarqaa	['uti', 'ku', 'yku', 'ya', 'rqa', 'a']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Intens', 'Pl', 'Pst', '1']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
pitapis	['pi', 'ta']	['D', 'F', 'D', 'F']	['PRON', 'Obj']
riqiiraqtsu	['riqi', 'i', 'raq', 'tsu']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', '1', 'Inacp', 'Neg']
tsayllanam	['Tsay', 'lla', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Lim', 'Acp', 'Asrt']
nuqakunapis	['nuqakuna', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
leyiriyarqaa	['leyi', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
alistakuyarqaa	['alista', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Pl', 'Pst', '1']
kutiyaamunaapaq	['kuti', 'yaa', 'mu', 'na', 'a', 'paq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Pl', 'Cis', 'Pot', 'Poss.1Sg', 'Ben']
tsayllatam	['Tsay', 'lla', 'ta', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Lim', 'Obj', 'Asrt']
mikuyan	['miku', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '3']
wata	['wata']	['D', 'M', 'M', 'F']	['N']
enteru	['enteru']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
i	['I']	['U']	['CCONJ']
punuyaananpaq	['punu', 'yaa', 'na', 'n', 'paq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Pl', 'Pot', 'Poss.3', 'Ben']
kayaapun	['ka', 'yaa', 'pu', 'n']	['D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['AUX', 'Pl', 'Apl', '3']
qaratsankuna	['qaratsa', 'n', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
i	['i']	['U']	['CCONJ']
hergankuna	['herga', 'n', 'kuna']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
i	['I']	['U']	['CCONJ']
arukuyaananpaq	['aru', 'ku', 'yaa', 'na', 'n', 'paq']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pl', 'Pot', 'Poss.3', 'Ben']
kan	['ka', 'n']	['D', 'F', 'U']	['AUX', '3']
mankankuna	['manka', 'n', 'kuna']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
i	['I']	['U']	['CCONJ']
tullpankuna	['tullpa', 'n', 'kuna']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
kima	['kima']	['D', 'M', 'M', 'F']	['NUM.Card']
rumi	['rumi']	['D', 'M', 'M', 'F']	['N']
churashqa	['chura', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
patsallachaw	['patsa', 'lla', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Lim', 'Loc']
patsa	['Patsa']	['D', 'M', 'M', 'M', 'F']	['N']
waraariptin	['waraa', 'ri', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Cnv', 'Poss.3']
ni	['ni']	['D', 'F']	['ADV']
sikyera	['sikyera']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
yakuwan	['yaku', 'wan']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Com']
shuupatsiyantsu	['shuupa', 'tsi', 'ya', 'n', 'tsu']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Caus', 'Pl', '3', 'Neg']
asta	['asta']	['D', 'M', 'M', 'F']	['ADP']
ni	['ni']	['D', 'F']	['ADV']
kikinkunapis	['kiki', 'n', 'kuna', 'pis']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Refl', 'Poss.3', 'Pl', 'Coord']
kayaapun	['Ka', 'yaa', 'pu', 'n']	['D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['AUX', 'Pl', 'Apl', '3']
haka	['haka']	['D', 'M', 'M', 'F']	['N']
konehu	['konehu']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
wallpa	['wallpa']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
i	['i']	['U']	['CCONJ']
kuchinkuna	['kuchi', 'n', 'kuna']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
chaaramun	['chaa', 'ra', 'mu', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Cis', '3']
dolorosa	['Dolorosa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
marsuchaw	['marsu', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
watachaw	['wata', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
fyestakuna	['fyesta', 'kuna']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
kaptinqa	['ka', 'pti', 'n', 'qa']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['AUX', 'Cnv', 'Poss.3', 'Top']
manam	['mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
ampishqantapis	['ampi', 'shqa', 'n', 'ta', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['VInt', 'Prf', 'Poss.3', 'Obj', 'Coord']
maakuyantsu	['maaku', 'ya', 'n', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', '3', 'Neg']
tsaypitanam	['Tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
chaarayaamun	['chaa', 'ra', 'yaa', 'mu', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Cis', '3']
atska	['atska']	['D', 'M', 'M', 'M', 'F']	['ADV']
qillayyuq	['qillay', 'yuq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Orn']
wakinkunaqa	['Wakin', 'kuna', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Pl', 'Top']
