	TOKEN	MORPH	SEG_BME	LABEL
674	porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
675	chaykuyarqaa	['cha', 'cha', 'cha', 'cha', 'cha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Pl', 'Pst', '1']
676	inti	['Inti']	['D', 'M', 'M', 'F']	['N']
677	kusa	['kusa']	['D', 'M', 'M', 'F']	['ADV']
678	kichiriptin	['kichi', 'ri', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Pct', 'Cnv', 'Poss.3']
679	rashta	['rashta']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
680	luyaq	['luyaq']	['D', 'M', 'M', 'M', 'F']	['ADJ']
681	kaptin	['ka', 'pti', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Cnv', 'Poss.3']
682	manam	['mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
683	rikaytapis	['rika', 'rika', 'rika', 'rika']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Inf', 'Obj', 'Coord']
684	pwediyarqaatsu	['pwedi', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
685	tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
686	pasakuyarqaa	['pasa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
687	tardina	['tardi', 'na']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Acp']
688	tsaypis	['Tsay']	['D', 'M', 'M', 'F']	['PRON']
689	naanikuna	['naani', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
690	sellama	['sellama']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
691	mitu	['mitu']	['D', 'M', 'M', 'F']	['N']
692	karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
693	pulla	['Pulla']	['D', 'M', 'M', 'M', 'F']	['N']
694	paqasmi	['paqas', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Asrt']
695	chaayarqaa	['cha', 'cha', 'cha', 'cha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1']
696	wanukuman	['Wanuku', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
697	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
698	aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
699	porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
700	chaariyarqaa	['chaa', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
701	tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
702	punuyarqaa	['punu', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
703	i	['I']	['U']	['CCONJ']
704	waraarayaamurqaa	['waraa', 'ra', 'yaa', 'mu', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Cis', 'Pst', '1']
705	sabaduman	['sabadu', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
706	tamyakuykaptin	['tamya', 'ku', 'yka', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Prog', 'Cnv', 'Poss.3']
707	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
708	relihyon	['relihyon']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
709	wiyaytapis	['wiya', 'y', 'ta', 'pis']	['D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Inf', 'Obj', 'Coord']
710	munayantsu	['muna', 'ya', 'n', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', '3', 'Neg']
711	domingunam	['Domingu', 'na', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Acp', 'Asrt']
712	hamayarqaa	['hama', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
713	tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
714	pasakuyarqaa	['pasa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
715	kasi	['Kasi']	['D', 'M', 'M', 'F']	['ADV']
716	ampiirirqanna	['ampiiri', 'rqa', 'n', 'na']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Pst', '3', 'Acp']
717	ni	['Ni']	['D', 'F']	['ADV']
718	maychaw	['may', 'chaw']	['D', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
719	tariyarqaatsu	['tari', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
720	tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
721	nuqakunapis	['nuqakuna', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
722	llakiyarqaa	['llaki', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
723	kisaachi	['kisaa', 'chi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Conjc']
724	familyantsikkuna	['familya', 'ntsik', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Poss.1Pl.Inc', 'Pl']
725	dañakushqa	['daña', 'ku', 'shqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['V', 'Refl/Mid', 'Prf']
726	o	['o']	['U']	['CCONJ']
727	wanushqa	['wanu', 'shqa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Prf']
728	kaykan	['ka', 'yka', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Prog', '3']
729	chirapa	['Chirapa']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
730	tamyatam	['tamya', 'ta', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Obj', 'Asrt']
731	prosesyon	['prosesyon']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
732	tumaykurqan	['tuma', 'yku', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pst', '3']
733	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
734	nuqakunatapis	['nuqakuna', 'ta', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Obj', 'Coord']
735	qayayaamarqan	['qaya', 'yaa', 'ma', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', '1.Obj', 'Pst', '3']
736	tsaychaw	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
737	kimaqmi	['kimaq', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['NUM.Ptv', 'Asrt']
738	aaniyaamarqan	['aani', 'yaa', 'ma', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', '1.Obj', 'Pst', '3']
739	wanukuman	['Wanuku', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
740	shayaamunanpaq	['sha', 'sha', 'sha', 'sha', 'sha', 'sha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Cis', 'Pot', 'Poss.3', 'Ben']
741	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
742	karupis	['karu', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Coord']
743	kantsu	['ka', 'n', 'tsu']	['D', 'F', 'U', 'D', 'M', 'F']	['AUX', '3', 'Neg']
744	pacha	['Pacha']	['D', 'M', 'M', 'M', 'F']	['N']
745	nanayllawan	['nana', 'y', 'lla', 'wan']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Inf', 'Lim', 'Com']
746	wanurillaanaq	['wanu', 'ri', 'llaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pct', 'Lim', 'Rpst']
747	pachaa	['Pacha', 'a']	['D', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.1Sg']
748	waqaptin	['waqa', 'pti', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Cnv', 'Poss.3']
749	inmedyatamente	['inmedyatamente']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
750	aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
751	merkaduman	['merkadu', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
752	tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
753	mikuyarqaa	['miku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
754	tsayllanam	['Tsay', 'lla', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Lim', 'Acp', 'Asrt']
755	las	['las']	['D', 'M', 'F']	['DET']
756	tres	['tres']	['D', 'M', 'M', 'F']	['NUM.Card']
757	karirqan	['ka', 'ri', 'rqa', 'n']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pct', 'Pst', '3']
758	tsaychaw	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
759	hamakuriykur	['hama', 'ku', 'ri', 'yku', 'r']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pct', 'Intens', 'Cnv']
760	aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
761	parokyaman	['parokya', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
762	i	['I']	['U']	['CCONJ']
763	porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
764	chaariyarqaa	['chaa', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
765	pasakurnam	['Pasa', 'ku', 'r', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['VInt', 'Refl/Mid', 'Cnv', 'Acp', 'Asrt']
766	taririyaa	['tari', 'ri', 'ya', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', '1']
767	mas	['mas']	['D', 'M', 'F']	['ADV']
768	nunakunata	['nuna', 'kuna', 'ta']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
769	tsaypitanam	['Tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
770	pasakuyarqaa	['pasa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
771	mas	['mas']	['D', 'M', 'F']	['ADV']
772	karutana	['karu', 'ta', 'na']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Acp']
773	tsaychawpis	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
774	nunakunaqa	['nuna', 'kuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Top']
775	aaniyaamarqanmi	['aani', 'yaa', 'ma', 'rqa', 'n', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Pl', '1.Obj', 'Pst', '3', 'Asrt']
776	wanukuta	['Wanuku', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Obj']
777	shayaamunanpaq	['sha', 'sha', 'sha', 'sha', 'sha', 'sha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Cis', 'Pot', 'Poss.3', 'Ben']
778	qillayllapaq	['Qillay', 'lla', 'paq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['N', 'Lim', 'Ben']
779	imatapis	['ima', 'ta']	['D', 'M', 'F', 'D', 'F']	['PRON', 'Obj']
780	rurayan	['rura', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '3']
781	tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
782	punuyarqaa	['punu', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
783	kushishqam	['Kushi', 'shqa', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['VInt', 'Prf', 'Asrt']
784	chaskiyaamarqan	['chaski', 'yaa', 'ma', 'rqa', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', '1.Obj', 'Pst', '3']
785	tsaychawqa	['Tsay', 'chaw', 'qa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Top']
786	taririyarqaa	['tari', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
787	i	['I']	['U']	['CCONJ']
788	porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
789	tariyarqaa	['tari', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
790	naani	['Naani']	['D', 'M', 'M', 'M', 'F']	['N']
791	pasanallachawmi	['pasa', 'na', 'lla', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['VInt', 'Pot', 'Lim', 'Loc', 'Asrt']
792	eskwela	['eskwela']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
793	tsaychawnam	['Tsay', 'chaw', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Loc', 'Acp', 'Asrt']
794	alalaptin	['alala', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Cnv', 'Poss.3']
795	quñukushpa	['quñu', 'ku', 'shpa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['V', 'Refl/Mid', 'Grd']
796	hamakuyarqaa	['hama', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
797	i	['I']	['U']	['CCONJ']
798	tsayllana	['tsay', 'lla', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON', 'Lim', 'Acp']
799	ampiirin	['ampiiri', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U']	['VInt', '3']
800	tamyaqa	['Tamya', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
801	pasaykun	['pasa', 'yku', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Intens', '3']
802	kasi	['kasi']	['D', 'M', 'M', 'F']	['ADV']
803	las	['las']	['D', 'M', 'F']	['DET']
804	onsina	['onsi', 'na']	['D', 'M', 'M', 'F', 'D', 'F']	['NUM.Card', 'Acp']
805	tardinam	['Tardi', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Acp', 'Asrt']
806	kutiyarqaa	['kuti', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
807	wanukuman	['Wanuku', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
808	i	['I']	['U']	['CCONJ']
809	domingunam	['domingu', 'na', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Acp', 'Asrt']
810	hamayarqaa	['hama', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
811	unay	['Unay']	['D', 'M', 'M', 'F']	['N']
812	taakuyarqaa	['taa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
813	imallatapis	['ima', 'lla', 'ta']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON', 'Lim', 'Obj']
814	parlakurnin	['parla', 'ku', 'r', 'ni', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['VInt', 'Refl/Mid', 'Cnv', 'Poss.3']
815	nuqakuna	['Nuqakuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PRON.Prs']
816	mas	['mas']	['D', 'M', 'F']	['ADV']
817	purir	['puri', 'r']	['D', 'M', 'M', 'F', 'U']	['VInt', 'Cnv']
818	limpunam	['limpu', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['ADV', 'Acp', 'Asrt']
819	utikuykuyarqaa	['uti', 'ku', 'yku', 'ya', 'rqa', 'a']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Intens', 'Pl', 'Pst', '1']
820	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
821	pitapis	['pi', 'ta']	['D', 'F', 'D', 'F']	['PRON', 'Obj']
822	riqiiraqtsu	['riqi', 'i', 'raq', 'tsu']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', '1', 'Inacp', 'Neg']
823	tsayllanam	['Tsay', 'lla', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Lim', 'Acp', 'Asrt']
824	nuqakunapis	['nuqakuna', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
825	leyiriyarqaa	['leyi', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
826	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
827	alistakuyarqaa	['alista', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Pl', 'Pst', '1']
828	kutiyaamunaapaq	['kuti', 'yaa', 'mu', 'na', 'a', 'paq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Pl', 'Cis', 'Pot', 'Poss.1Sg', 'Ben']
829	tsayllatam	['Tsay', 'lla', 'ta', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Lim', 'Obj', 'Asrt']
830	mikuyan	['miku', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '3']
831	wata	['wata']	['D', 'M', 'M', 'F']	['N']
832	enteru	['enteru']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
833	i	['I']	['U']	['CCONJ']
834	punuyaananpaq	['punu', 'yaa', 'na', 'n', 'paq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Pl', 'Pot', 'Poss.3', 'Ben']
835	kayaapun	['ka', 'yaa', 'pu', 'n']	['D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['AUX', 'Pl', 'Apl', '3']
836	qaratsankuna	['qaratsa', 'n', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
837	i	['i']	['U']	['CCONJ']
838	hergankuna	['herga', 'n', 'kuna']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
839	i	['I']	['U']	['CCONJ']
840	arukuyaananpaq	['aru', 'ku', 'yaa', 'na', 'n', 'paq']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pl', 'Pot', 'Poss.3', 'Ben']
841	kan	['ka', 'n']	['D', 'F', 'U']	['AUX', '3']
842	mankankuna	['manka', 'n', 'kuna']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
843	i	['I']	['U']	['CCONJ']
844	tullpankuna	['tullpa', 'n', 'kuna']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
845	kima	['kima']	['D', 'M', 'M', 'F']	['NUM.Card']
846	rumi	['rumi']	['D', 'M', 'M', 'F']	['N']
847	churashqa	['chura', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
848	patsallachaw	['patsa', 'lla', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Lim', 'Loc']
849	patsa	['Patsa']	['D', 'M', 'M', 'M', 'F']	['N']
850	waraariptin	['waraa', 'ri', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Cnv', 'Poss.3']
851	ni	['ni']	['D', 'F']	['ADV']
852	sikyera	['sikyera']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
853	yakuwan	['yaku', 'wan']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Com']
854	shuupatsiyantsu	['shuupa', 'tsi', 'ya', 'n', 'tsu']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Caus', 'Pl', '3', 'Neg']
855	asta	['asta']	['D', 'M', 'M', 'F']	['ADP']
856	ni	['ni']	['D', 'F']	['ADV']
857	kikinkunapis	['kiki', 'n', 'kuna', 'pis']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Refl', 'Poss.3', 'Pl', 'Coord']
858	kayaapun	['Ka', 'yaa', 'pu', 'n']	['D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['AUX', 'Pl', 'Apl', '3']
859	haka	['haka']	['D', 'M', 'M', 'F']	['N']
860	konehu	['konehu']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
861	wallpa	['wallpa']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
862	i	['i']	['U']	['CCONJ']
863	kuchinkuna	['kuchi', 'n', 'kuna']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
864	tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
