TOKEN	MORPH	SEG_BME	LABEL
despidikuqnin	['despidi', 'ku', 'q', 'ni', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['V', 'Refl/Mid', 'Agt', 'Poss.3']
y	['y']	['U']	['CCONJ']
testamentukuqnin	['testamentu', 'ku', 'q', 'ni', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['N', 'Refl/Mid', 'Agt', 'Poss.3']
tsaynawshi	['Tsay', 'naw', 'shi']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Equ', 'Nfh']
kay	['kay']	['D', 'M', 'F']	['DET']
santukunaqa	['santu', 'kuna', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Top']
chaariyanaq	['chaa', 'ri', 'ya', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Pl', 'Rpst']
putsun	['Putsun']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
quchaman	['Qucha', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
kay	['kay']	['D', 'M', 'F']	['DET']
huti	['huti']	['D', 'M', 'M', 'F']	['N']
shamun	['shamu', 'n']	['D', 'M', 'M', 'M', 'F', 'U']	['VTr', '3']
ashmapa	['ashma', 'pa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Gen']
putsunyuq	['putsu', 'n', 'yuq']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.3', 'Orn']
quchapita	['qucha', 'pita']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Abl']
nunaqa	['Nuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
ayqir	['ayqi', 'r']	['D', 'M', 'M', 'F', 'U']	['VInt', 'Cnv']
aywakunaq	['aywa', 'ku', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Rpst']
kura	['Kura']	['D', 'M', 'M', 'F']	['PROPN']
hirkachaw	['Hirka', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Loc']
chakran	['chakra', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.3']
rurayta	['rura', 'y', 'ta']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Inf', 'Obj']
munanaqnatsu	['muna', 'naq', 'na', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Rpst', 'Acp', 'Neg']
tsaynaw	['Tsay', 'naw']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Equ']
kaptinshi	['ka', 'pti', 'n', 'shi']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['AUX', 'Cnv', 'Poss.3', 'Nfh']
hichakacharkuq	['hicha', 'kacha', 'rku', 'q']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Iter', 'Edu', 'Hab']
lichita	['lichi', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
kiisutapis	['kiisu', 'ta', 'pis']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['N', 'Obj', 'Coord']
aku	['Aku']	['D', 'M', 'F']	['INTJ']
niyaqshi	['ni', 'ya', 'q', 'shi']	['D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Hab', 'Nfh']
waynakuna	['wayna', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
aku	['aku']	['D', 'M', 'F']	['INTJ']
siriinakunapa	['siriina', 'kuna', 'pa']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Gen']
musyayninta	['musya', 'y', 'ni', 'n', 'ta']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Inf', 'Poss.3', 'Obj']
yachakamushun	['yacha', 'ka', 'mu', 'shun']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Refl/Mid', 'Cis', 'Imp.1Pl.Inc']
i	['I']	['U']	['CCONJ']
estrictamente	['estrictamente']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
uryayaanaq	['urya', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst']
huqta	['huqta']	['D', 'M', 'M', 'M', 'F']	['NUM.Card']
hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
semana	['semana']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
enteru	['enteru']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
kada	['kada']	['D', 'M', 'M', 'F']	['DET']
huqta	['huqta']	['D', 'M', 'M', 'M', 'F']	['NUM.Card']
killachaw	['killa', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
qallanan	['qalla', 'na', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pot', 'Poss.3']
witsayqa	['witsay', 'qa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
alli	['alli']	['D', 'M', 'M', 'F']	['ADV']
abansayaamurqaa	['abansa', 'yaa', 'mu', 'rqa', 'a']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Pl', 'Cis', 'Pst', '1']
i	['I']	['U']	['CCONJ']
presidente	['presidente']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
de	['de']	['D', 'F']	['ADP']
la	['la']	['D', 'F']	['DET']
hunta	['hunta']	['D', 'M', 'M', 'M', 'F']	['N']
militar	['militar']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
sánchez	['Sánchez']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
cerro	['Cerro']	['D', 'M', 'M', 'M', 'F']	['PROPN']
tsaytam	['Tsay', 'ta', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON.Dem', 'Obj', 'Asrt']
wayiiman	['wayi', 'i', 'man']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.1Sg', 'Dat']
apakurqaa	['apa', 'ku', 'rqa', 'a']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Pst', '1']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
yuriyashqatsu	['yuri', 'ya', 'shqa', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Prf', 'Neg']
tsay	['Tsay']	['D', 'M', 'M', 'F']	['DET']
awkis	['awkis']	['D', 'M', 'M', 'M', 'F']	['N']
aywaqpistsu	['aywa', 'q', 'pis', 'tsu']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Agt', 'Coord', 'Neg']
allqukuna	['allqu', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
qarquq	['qarqu', 'q']	['D', 'M', 'M', 'M', 'F', 'U']	['VTr', 'Agt']
wamayarnin	['wamaya', 'wamaya', 'ni', 'wamaya']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'M', 'M', 'F']	['VInt', 'Cnv', 'Poss.3']
ishkayki	['Ishka', 'yki']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['NUM', 'Poss.2']
mayor	['mayor']	['D', 'M', 'M', 'M', 'F']	['ADJ']
kargukuna	['kargu', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
parlayaamuy	['parla', 'yaa', 'mu', 'y']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Pl', 'Cis', 'Imp.2']
i	['I']	['U']	['CCONJ']
tsaynawllam	['tsay', 'naw', 'lla', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['PRON', 'Equ', 'Lim', 'Asrt']
karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
alli	['alli']	['D', 'M', 'M', 'F']	['ADJ']
unay	['unay']	['D', 'M', 'M', 'F']	['N']
resupita	['Resu', 'pita']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Abl']
i	['i']	['U']	['CCONJ']
misapita	['misa', 'pita']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Abl']
nunakuna	['nuna', 'kuna']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
yarquyaq	['yarqu', 'ya', 'q']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', 'Hab']
limpu	['limpu']	['D', 'M', 'M', 'M', 'F']	['ADJ']
allpapa	['allpa', 'pa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Man']
pichushqa	['pichu', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
las	['Las']	['D', 'M', 'F']	['DET']
nwebinam	['nwebi', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['NUM.Card', 'Acp', 'Asrt']
yarqarayaamurqaa	['yarqa', 'ra', 'yaa', 'mu', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Cis', 'Pst', '1']
paryakotupita	['Paryakotu', 'pita']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Abl']
tsayta	['Tsay', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Dem', 'Obj']
ashtariykurmi	['ashta', 'ri', 'yku', 'r', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pct', 'Intens', 'Cnv', 'Asrt']
qallaykuyarqaa	['qalla', 'yku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pl', 'Pst', '1']
kapillata	['kapilla', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
tuqlir	['tuqli', 'r']	['D', 'M', 'M', 'M', 'F', 'U']	['VTr', 'Cnv']
tsaynaw	['Tsay', 'naw']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Equ']
kontratuta	['kontratu', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
rurariyarqaa	['rura', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
albañilwan	['Albañil', 'wan']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Com']
kontratu	['kontratu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
rurayanqaaqa	['rura', 'ya', 'nqa', 'a', 'qa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pl', 'Sub', 'Poss.1Sg', 'Top']
masna	['mas']	['D', 'M', 'F']	['ADV', 'Acp']
serkaramurqan	['serka', 'ra', 'mu', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Cis', 'Pst', '3']
i	['i']	['U']	['CCONJ']
tsaynawlla	['tsay', 'naw', 'll']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON', 'Equ', 'Lim']
kada	['kada']	['D', 'M', 'M', 'F']	['DET']
bes	['bes']	['D', 'M', 'F']	['N']
nimarqan	['ni', 'ma', 'rqa', 'n']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', '1.Obj', 'Pst', '3']
qamkuna	['Qamkuna']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['PRON.Prs']
kompletutam	['kompletu', 'ta', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['ADJ', 'Obj', 'Asrt']
quyaamaanayki	['qu', 'yaa', 'maa', 'na', 'yki']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pl', '1.Obj', 'Pot', 'Poss.2']
tsaywanmi	['Tsay', 'wan', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON.Dem', 'Com', 'Asrt']
rantiyarquu	['ranti', 'ya', 'rqu', 'u']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'RecPst', '1']
130	['130']	['U']	['NUM']
kintalos	['kintalos']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
yesuta	['yesu', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
tsaynam	['Tsayna', 'm']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
aywarqaa	['aywa', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
plasata	['plasa', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
kaychaw	['Kay', 'chaw']	['D', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
resakuqkunam	['resa', 'ku', 'q', 'kuna', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'M', 'F', 'U']	['V', 'Refl/Mid', 'Agt', 'Pl', 'Asrt']
kulpayuq	['kulpa', 'yuq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Orn']
kayan	['ka', 'ya', 'n']	['D', 'F', 'D', 'F', 'U']	['AUX', 'Pl', '3']
paykuna	['paykuna']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['PRON.Prs']
manaalli	['manaalli']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
resayashqanmi	['resa', 'ya', 'shqa', 'n', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F']	['V', 'Pl', 'Prf', 'Poss.3', 'Asrt']
haychawmi	['Hay', 'chaw', 'mi']	['D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
kaykaanaq	['ka', 'ykaa', 'naq']	['D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Prog', 'Rpst']
victorina	['Victorina']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
lumtsiynii	['lumtsiy', 'ni', 'i']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Poss.1Sg']
sobrinaa	['sobrina', 'a']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.1Sg']
santa	['Santa']	['D', 'M', 'M', 'M', 'F']	['PROPN']
reynaldu	['Reynaldu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
ramón	['Ramón']	['D', 'M', 'M', 'M', 'F']	['PROPN']
damacho	['Damacho']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
i	['i']	['U']	['CCONJ']
juan	['Juan']	['D', 'M', 'M', 'F']	['PROPN']
de	['de']	['D', 'F']	['ADP']
dios	['Dios']	['D', 'M', 'M', 'F']	['PROPN']
tsay	['Tsay']	['D', 'M', 'M', 'F']	['DET']
aywaraykarnam	['aywa', 'ra', 'yka', 'r', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F', 'U']	['VTr', 'Dur', 'Prog', 'Cnv', 'Acp', 'Asrt']
naanitana	['naani', 'ta', 'na']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Acp']
pantakuykuyaa	['panta', 'ku', 'yku', 'ya', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Refl/Mid', 'Intens', 'Pl', '1']
i	['i']	['U']	['CCONJ']
aywakuyaanaq	['aywa', 'ku', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pl', 'Rpst']
kayaa	['ka', 'ya', 'a']	['D', 'F', 'D', 'F', 'U']	['AUX', 'Pl', '1']
huk	['huk']	['D', 'M', 'F']	['DET']
ladupa	['ladu', 'pa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Prol']
nuqakunanam	['Nuqakuna', 'na', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON.Prs', 'Acp', 'Asrt']
nunakunata	['nuna', 'kuna', 'ta']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
aylluyaamushaq	['ayllu', 'yaa', 'mu', 'shaq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Pl', 'Cis', 'Fut.1']
tardi	['tardi']	['D', 'M', 'M', 'M', 'F']	['N']
resakunapaq	['resa', 'ku', 'na', 'paq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['V', 'Refl/Mid', 'Pot', 'Ben']
i	['I']	['U']	['CCONJ']
restawrantichawna	['restawranti', 'chaw', 'na']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Loc', 'Acp']
senayarqaa	['sena', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Pl', 'Pst', '1']
ishkaa	['ishka', 'a']	['D', 'M', 'M', 'M', 'F', 'U']	['NUM', 'Poss.1Sg']
waraanin	['Waraanin']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
quyanam	['quya', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Acp', 'Asrt']
padri	['padri']	['D', 'M', 'M', 'M', 'F']	['N']
nimarqan	['ni', 'ma', 'rqa', 'n']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', '1.Obj', 'Pst', '3']
imanawpis	['Imanaw', 'pis']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Coord']
tarimushaqmi	['tari', 'mu', 'shaq', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['VTr', 'Cis', 'Fut.1', 'Asrt']
eskwelaman	['eskwela', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
kachamunaapaq	['kacha', 'mu', 'na', 'a', 'paq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Cis', 'Pot', 'Poss.1Sg', 'Ben']
unay	['Unay']	['D', 'M', 'M', 'F']	['N']
shuyaraykaptii	['shuya', 'ra', 'yka', 'pti', 'i']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Dur', 'Prog', 'Cnv', 'Poss.1Sg']
porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
yurikamur	['yuri', 'ku', 'mu', 'r']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VInt', 'Intens', 'Cis', 'Cnv']
huk	['huk']	['D', 'M', 'F']	['DET']
kolektibu	['kolektibu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
wallankaman	['Wallanka', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
tsaywanmi	['tsay', 'wan', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON.Dem', 'Com', 'Asrt']
shamuykuyarqaa	['shamu', 'yku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pl', 'Pst', '1']
alli	['alli']	['D', 'M', 'M', 'F']	['ADJ']
shuyni	['shuyni']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
limpu	['limpu']	['D', 'M', 'M', 'M', 'F']	['ADJ']
polvaderawan	['polvadera', 'wan']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Com']
tsapashqa	['tsapa', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
nuqatapis	['Nuqa', 'ta', 'pis']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Obj', 'Coord']
padrinu	['padrinu']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
qatswaq	['qatswa', 'q']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['VInt', 'Agt']
inbitamarqanmi	['inbita', 'ma', 'rqa', 'n', 'mi']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', '1.Obj', 'Pst', '3', 'Asrt']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
tsaypita	['tsay', 'pita']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Abl']
qarqarayaamarqa	['qarqa', 'ra', 'yaa', 'ma', 'rqa']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Pl', '1.Obj', 'Pst']
tsaynam	['Tsayna', 'm']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
chaarirqaa	['chaa', 'ri', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pst', '1']
hotel	['Hotel']	['D', 'M', 'M', 'M', 'F']	['PROPN']
suiza	['Suiza']	['D', 'M', 'M', 'M', 'F']	['PROPN']
peruanaman	['Peruana', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
huk	['huk']	['D', 'M', 'F']	['DET']
nuna	['nuna']	['D', 'M', 'M', 'F']	['N']
kaykaanaq	['ka', 'ykaa', 'naq']	['D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Prog', 'Rpst']
despwesnam	['Despwes', 'na', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['ADV', 'Acp', 'Asrt']
shayaamurqaa	['sha', 'sha', 'sha', 'sha', 'sha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Cis', 'Pst', '1']
i	['i']	['U']	['CCONJ']
chaarayaamuu	['chaa', 'ra', 'yaa', 'mu', 'u']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Cis', '1']
karwasman	['Karwas', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
las	['las']	['D', 'M', 'F']	['DET']
kwatruna	['kwatru', 'na']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['NUM.Card', 'Acp']
paytanam	['Pay', 'ta', 'na', 'm']	['D', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['PRON.Prs', 'Obj', 'Acp', 'Asrt']
qurqaa	['qu', 'rqa', 'a']	['D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
qillaynin	['qillay', 'ni', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Poss.3']
arukaramunanpaq	['aru', 'ka', 'ra', 'mu', 'na', 'n', 'paq']	['D', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pct', 'Cis', 'Pot', 'Poss.3', 'Ben']
tsayta	['Tsay', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Dem', 'Obj']
pasariyaptiinam	['pasa', 'ri', 'ya', 'pti', 'i', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Cnv', 'Poss.1Sg', 'Acp', 'Asrt']
awtuqa	['awtu', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
fallarna	['fallar', 'na']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['V', 'Acp']
qallaykurqa	['qalla', 'yku', 'rqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Pst', '3']
konfesakuyay	['Konfesa', 'ku', 'ya', 'y']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['V', 'Refl/Mid', 'Pl', 'Imp.2']
nishqaaqa	['ni', 'shqa', 'a', 'qa']	['D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Prf', 'Poss.1Sg', 'Top']
