	idx	tokens	gold_pos	isUppercase	ADJ	ADV	INTJ	N	PROPN	VTr	VInt	V	DET	NUM	PRON	PRON.Dem	PRON.Prs	PRON.Refl	CCONJ	ADP	UNK
280	3	karutsarqa	ADJ	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
281	4	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282	0	Warmikunam	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
283	1	triiguta	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
284	2	llushtaykaayan	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
285	3	mayuchaw	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
286	4	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
287	0	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
288	1	Allitam	ADV	True	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
289	2	nirinki	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
290	3	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291	4	nir	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
292	5	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
293	6	hurqaramunaq	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
294	7	bolsillumpita	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
295	8	kadenata	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
296	9	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
297	0	Papaanii	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
298	1	don	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
299	2	Valentín	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
300	3	Bruno	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
301	4	i	CCONJ	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
302	5	mamaanii	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
303	6	doña	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
304	7	Espírita	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
305	8	Quispe	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
306	9	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
307	0	Awkinmi	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
308	1	uraykaamun	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
309	2	markapita	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
310	0	Tsayran	ADV	True	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311	1	kedayarqaa	VInt	False	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
312	2	trankilu	ADJ	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
313	3	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	0	Tsaynash	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
315	1	nirqunaq	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
316	2	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317	3	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	4	Bwenu	INTJ	True	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
319	5	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	6	shamushaqmi	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
321	7	tal	DET	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
322	8	diya	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
323	9	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	0	Tsaypitam	PRON	True	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
325	1	las	DET	False	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
326	2	seisnawna	NUM.Card	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
327	3	pasakuyarqaa	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
328	4	sellama	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
329	5	tamya	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
330	6	puqllallakuykaqta	VInt	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
331	7	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
