Tsaymi qallanan witsayqa alli abansayaamurqaa.	Entonces en el principio avanzamos bien.	CRH-01-022	[['tsay[PRON]+mi[Asrt]'], ['qalla[VTr]+na[Pot](N)+n[Poss.3]'], ['witsay[N]+qa[Top]'], ['alli[ADV]'], ['abansa[V]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('qalla', 'qalla'), ('na', 'na'), ('n', 'n')], [('witsay', 'witsay'), ('qa', 'qa')], [('alli', 'alli')], [('abansa', 'abansa'), ('yaa', 'yaA'), ('mu', 'mu'), ('rqa', 'rqa'), ('a', 'ː')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['qalla[VTr]+na[Pot](N)+n[Poss.3]', 'qalla[VTr]+naA[Prosp]+n[3]'], ['witsa[VTr]+y[Inf]+qa[Top]', 'witsay[N]+qa[Top]', 'witsa[VTr]+y[Imp.2]+qa[Top]'], ['alli[ADJ]', 'alli[ADV]'], ['abansa[V]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]']]
I presidente de la hunta militar karqan Sánchez Cerro.	Y el presidente de la junta militar fue Sánchez Cerro.	CRH-01-077	[['i[CCONJ]'], ['presidente[N]'], ['de[ADP]'], ['la[DET]'], ['hunta[N]'], ['militar[ADJ]'], ['ka[AUX]+rqa[Pst]+n[3]'], ['sánchez[PROPN]'], ['cerro[PROPN]']]	[[('I', 'i')], [('presidente', 'presidente')], [('de', 'de')], [('la', 'la')], [('hunta', 'hunta')], [('militar', 'militar')], [('ka', 'ka'), ('rqa', 'rqa'), ('n', 'n')], [('Sánchez', 'sánchez')], [('Cerro', 'cerro')]]	[['i[CCONJ]'], ['presidente[UNK]'], ['de[ADP]'], ['la[DET]'], ['hunta[N]'], ['militar[UNK]'], ['ka[AUX]+rqa[Pst]+n[3]'], ['sánchez[UNK]'], ['cerro[UNK]']]
Tsaytam wayiiman apakurqaa.	La llevé a mi casa.	CRH-02-034	[['tsay[PRON.Dem]+ta[Obj]+mi[Asrt]'], ['wayi[N]+ː[Poss.1Sg]+man[Dat]'], ['apa[VTr]+kU[Refl/Mid]+rqa[Pst]+ː[1]']]	[[('Tsay', 'tsay'), ('ta', 'ta'), ('m', 'mi')], [('wayi', 'wayi'), ('i', 'ː'), ('man', 'man')], [('apa', 'apa'), ('ku', 'kU'), ('rqa', 'rqa'), ('a', 'ː')]]	[['tsay[PRON.Dem]+ta[Obj]+mi[Asrt]', 'tsay[PRON]+ta[Obj]+mi[Asrt]'], ['wayi[N]+ː[Poss.1Sg]+man[Dat]'], ['apa[VTr]+kU[Refl/Mid]+rqa[Pst]+ː[1]']]
Manam yuriyashqatsu.	No aparecieron.	CRH-02-037	[['mana[ADV]+mi[Asrt]'], ['yuri[VInt]+yaA[VPl]+shqa[Prf](N)+tsu[Neg]']]	[[('Mana', 'mana'), ('m', 'mi')], [('yuri', 'yuri'), ('ya', 'yaA'), ('shqa', 'shqa'), ('tsu', 'tsu')]]	[['mana[ADV]+mi[Asrt]'], ['yuri[VInt]+yaA[VPl]+shqa[Prf](N)+tsu[Neg]']]
Tsay awkis aywaqpistsu allqukuna qarquq wamayarnin.	Ese viejo tampoco fue a botar los perros por miedo.	CRH-02-105	[['tsay[DET]'], ['awkis[N]'], ['aywa[VTr]+q[Agt]+pis[Coord]+tsu[Neg]'], ['allqu[N]+kuna[Pl]'], ['qarqu[VTr]+q[Agt]'], ['wamayaa[VInt]+r[Cnv](N)+n[Poss.3]']]	[[('Tsay', 'tsay')], [('awkis', 'awkis')], [('aywa', 'aywa'), ('q', 'q'), ('pis', 'pis'), ('tsu', 'tsu')], [('allqu', 'allqu'), ('kuna', 'kuna')], [('qarqu', 'qarqu'), ('q', 'q')], [('wamaya', 'wamayaa'), ('r', 'r'), ('ni', 0), ('n', 'n')]]	[['tsay[DET]', 'tsay[PRON]'], ['awkis[N]'], ['aywa[VTr]+q[Hab]+pis[Coord]+tsu[Neg]', 'aywa[VTr]+q[Agt]+pis[Coord]+tsu[Neg]', 'aywa[VTr]+q[1.Sbj][2.Obj]+pis[Coord]+tsu[Neg]'], ['allqu[N]+kuna[Pl]'], ['qarqu[VTr]+q[Hab]', 'qarqu[VTr]+q[1.Sbj][2.Obj]', 'qarqu[VTr]+q[Agt]'], ['wama[N]+yaA[Transf](VInt)+r[Cnv](N)+n[Poss.3]', 'wama[V]+yaA[VPl]+r[Cnv](N)+n[Poss.3]']]
Ishkayki mayor kargukuna parlayaamuy.	Ustedes dos autoridades mayores conversen.	CRH-03-082	[['ishka[NUM]+yki[Poss.2](Pron.Sets)'], ['mayor[ADJ]'], ['kargu[N]+kuna[Pl]'], ['parla[VInt]+yaA[VPl]+mu[Cis]+y[Imp.2]']]	[[('Ishka', 'ishka'), ('yki', 'yki')], [('mayor', 'mayor')], [('kargu', 'kargu'), ('kuna', 'kuna')], [('parla', 'parla'), ('yaa', 'yaA'), ('mu', 'mu'), ('y', 'y')]]	[['ishka[N]+yki[Poss.2]', 'ishka[NUM]+yki[Poss.2](Pron.Sets)'], ['mayor[UNK]'], ['kargukuna[UNK]'], ['parla[VInt]+yaA[VPl]+mu[Cis]+y[Imp.2]']]
I tsaynawllam karqan alli unay.	Y así no más quedó mucho tiempo.	CRH-03-193	[['i[CCONJ]'], ['tsay[PRON]+naw[Equ]+lla[Lim]+mi[Asrt]'], ['ka[AUX]+rqa[Pst]+n[3]'], ['alli[ADJ]'], ['unay[N]']]	[[('I', 'i')], [('tsay', 'tsay'), ('naw', 'naw'), ('lla', 'lla'), ('m', 'mi')], [('ka', 'ka'), ('rqa', 'rqa'), ('n', 'n')], [('alli', 'alli')], [('unay', 'unay')]]	[['i[CCONJ]'], ['tsay[PRON]+naw[Equ]+lla[Lim]+mi[Asrt]', 'tsaynaw[ADV]+lla[Lim]+mi[Asrt]'], ['ka[AUX]+rqa[Pst]+n[3]'], ['alli[ADJ]', 'alli[ADV]'], ['unay[N]']]
Resupita i misapita nunakuna yarquyaq limpu allpapa pichushqa.	Cuando la gente salía del rezo y de misa, estaban muy sucios con tierra.	CRH-03-204	[['resu[N]+pita[Abl]'], ['i[CCONJ]'], ['misa[N]+pita[Abl]'], ['nuna[N]+kuna[Pl]'], ['yarqu[VTr]+yaA[VPl]+q[Hab]'], ['limpu[ADJ]'], ['allpa[N]+pa[Man]'], ['pichu[VTr]+shqa[Prf](N)']]	[[('Resu', 'resu'), ('pita', 'pita')], [('i', 'i')], [('misa', 'misa'), ('pita', 'pita')], [('nuna', 'nuna'), ('kuna', 'kuna')], [('yarqu', 'yarqu'), ('ya', 'yaA'), ('q', 'q')], [('limpu', 'limpu')], [('allpa', 'allpa'), ('pa', 'pa')], [('pichu', 'pichu'), ('shqa', 'shqa')]]	[['resupita[UNK]'], ['i[CCONJ]'], ['misa[N]+pita[Abl]'], ['nuna[N]+kuna[Pl]'], ['yarqu[VTr]+yaA[VPl]+q[1.Sbj][2.Obj]', 'yarqu[VTr]+yaA[VPl]+q[Hab]', 'yarqu[VTr]+yaA[VPl]+q[Agt]'], ['limpu[ADV]', 'limpu[ADJ]'], ['allpa[N]+pa[Gen]', 'allpa[N]+pa[Prol]', 'allpa[N]+pa[Man]'], ['pichu[VTr]+shqa[Prf](N)']]
Las nwebinam yarqarayaamurqaa Paryakotupita.	A las nueve salimos de Pariacoto.	CRH-03-239	[['las[DET]'], ['nwebi[NUM.Card]+na[Acp]+mi[Asrt]'], ['yarqa[VInt]+rI[Pct]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]'], ['paryakotu[PROPN]+pita[Abl]']]	[[('Las', 'las')], [('nwebi', 'nwebi'), ('na', 'na'), ('m', 'mi')], [('yarqa', 'yarqa'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('rqa', 'rqa'), ('a', 'ː')], [('Paryakotu', 'paryakotu'), ('pita', 'pita')]]	[['las[DET]'], ['nwebi[NUM.Card]+na[Acp]+mi[Asrt]'], ['yarqu[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]', 'yarqa[VInt]+rI[Pct]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]'], ['paryakotupita[UNK]']]
Tsayta ashtariykurmi qallaykuyarqaa kapillata tuqlir.	Después de llevarlo, empezamos desarmando (el techo de) la iglesia.	CRH-03-251	[['tsay[PRON.Dem]+ta[Obj]'], ['ashta[VTr]+rI[Pct]+yku[Intens]+r[Cnv](N)+mi[Asrt]'], ['qalla[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+ː[1]'], ['kapilla[N]+ta[Obj]'], ['tuqli[VTr]+r[Cnv](N)']]	[[('Tsay', 'tsay'), ('ta', 'ta')], [('ashta', 'ashta'), ('ri', 'rI'), ('yku', 'yku'), ('r', 'r'), ('mi', 'mi')], [('qalla', 'qalla'), ('yku', 'yku'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('kapilla', 'kapilla'), ('ta', 'ta')], [('tuqli', 'tuqli'), ('r', 'r')]]	[['tsay[PRON]+ta[Obj]', 'tsay[PRON.Dem]+ta[Obj]'], ['ashta[VTr]+rI[Pct]+yku[Intens]+r[Cnv](N)+mi[Asrt]'], ['qalla[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+ː[1]'], ['kapi[N]+lla[Lim]+ta[Obj]', 'kapilla[N]+ta[Obj]'], ['tuqli[VTr]+r[Cnv](N)']]
Tsaynaw kontratuta rurariyarqaa.	Así hicimos el contrato.	CRH-03-294	[['tsay[PRON]+naw[Equ]'], ['kontratu[N]+ta[Obj]'], ['rura[VTr]+rI[Pct]+yaA[VPl]+rqa[Pst]+ː[1]']]	[[('Tsay', 'tsay'), ('naw', 'naw')], [('kontratu', 'kontratu'), ('ta', 'ta')], [('rura', 'rura'), ('ri', 'rI'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')]]	[['tsaynaw[ADV]', 'tsay[PRON]+naw[Equ]'], ['kontratu[N]+ta[Obj]'], ['rura[VTr]+rI[Pct]+yaA[VPl]+rqa[Pst]+ː[1]']]
Albañilwan kontratu rurayanqaaqa masna serkaramurqan i tsaynawlla kada bes nimarqan.	El día que hablamos fijado en el contrato con el albañil se acercaba y el prefecto seguía diciéndome lo mismo cada vez.	CRH-03-319	[['albañil[N]+wan[Com]'], ['kontratu[N]'], ['rura[VTr]+yaA[VPl]+nqa[Sub](N)+ː[Poss.1Sg]+qa[Top]'], ['mas[ADV]+na[Acp]'], ['serka[VInt]+rI[Pct]+mu[Cis]+rqa[Pst]+n[3]'], ['i[CCONJ]'], ['tsay[PRON]+naw[Equ]+lla[Lim]'], ['kada[DET]'], ['bes[N]'], ['ni[VTr]+maA[1.Obj]+rqa[Pst]+n[3]']]	[[('Albañil', 'albañil'), ('wan', 'wan')], [('kontratu', 'kontratu')], [('rura', 'rura'), ('ya', 'yaA'), ('nqa', 'nqa'), ('a', 'ː'), ('qa', 'qa')], [('mas', 'mas'), ('na', 'na')], [('serka', 'serka'), ('ra', 'rI'), ('mu', 'mu'), ('rqa', 'rqa'), ('n', 'n')], [('i', 'i')], [('tsay', 'tsay'), ('naw', 'naw'), ('lla', 'lla')], [('kada', 'kada')], [('bes', 'bes')], [('ni', 'ni'), ('ma', 'maA'), ('rqa', 'rqa'), ('n', 'n')]]	[['albañil[N]+wan[Com]'], ['kontratu[N]'], ['rura[VTr]+yaA[VPl]+nqa[Sub](N)+ː[Poss.1Sg]+qa[Top]'], ['mas[ADV]+na[Acp]'], ['serka[VInt]+rI[Pct]+mu[Cis]+rqa[Pst]+n[3]'], ['i[CCONJ]'], ['tsay[PRON]+naw[Equ]+lla[Lim]', 'tsaynaw[ADV]+lla[Lim]'], ['kada[DET]'], ['bes[N]'], ['ni[VTr]+maA[1.Obj]+rqa[Pst]+n[3]']]
Qamkuna kompletutam quyaamaanayki.”	Ustedes tienen que dárnoslo completo.”	CRH-03-349	[['qamkuna[PRON.Prs]'], ['kompletu[ADJ]+ta[Obj](Adv)+mi[Asrt]'], ['qu[VTr]+yaA[VPl]+maA[1.Obj]+na[Pot](N)+yki[Poss.2]']]	[[('Qamkuna', 'qamkuna')], [('kompletu', 'kompletu'), ('ta', 'ta'), ('m', 'mi')], [('qu', 'qu'), ('yaa', 'yaA'), ('maa', 'maA'), ('na', 'na'), ('yki', 'yki')]]	[['qamkuna[PRON.Prs]'], ['kompletutam[UNK]'], ['quyaa[VInt]+maA[1.Obj]+na[Pot](N)+yki[Poss.2]', 'qu[VTr]+yaA[VPl]+maA[1.Obj]+na[Pot](N)+yki[Poss.2]']]
Tsaywanmi rantiyarquu 130 kintalos yesuta.	Con eso hemos comprado 130 quintales de yeso.	CRH-03-412	[['tsay[PRON.Dem]+wan[Com]+mi[Asrt]'], ['ranti[VTr]+yaA[VPl]+rqu[RecPst]+ː[1]'], ['130[NUM]'], ['kintalos[N]'], ['yesu[N]+ta[Obj]']]	[[('Tsay', 'tsay'), ('wan', 'wan'), ('mi', 'mi')], [('ranti', 'ranti'), ('ya', 'yaA'), ('rqu', 'rqu'), ('u', 'ː')], [('130', '130')], [('kintalos', 'kintalos')], [('yesu', 'yesu'), ('ta', 'ta')]]	[['tsay[PRON]+wan[Com]+mi[Asrt]', 'tsay[PRON.Dem]+wan[Com]+mi[Asrt]'], ['ranti[VTr]+yaA[VPl]+rqu[RecPst]+ː[1]'], ['130[Num]'], ['kintalos[UNK]'], ['yesu[N]+ta[Obj]']]
Tsaynam aywarqaa plasata.	Entonces fui a la plaza.	CRH-04-066	[['tsayna[ADV]+mi[Asrt]'], ['aywa[VTr]+rqa[Pst]+ː[1]'], ['plasa[N]+ta[Obj]']]	[[('Tsayna', 'tsayna'), ('m', 'mi')], [('aywa', 'aywa'), ('rqa', 'rqa'), ('a', 'ː')], [('plasa', 'plasa'), ('ta', 'ta')]]	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['aywa[VTr]+rqa[Pst]+ː[1]'], ['plasa[N]+ta[Obj]']]
Kaychaw resakuqkunam kulpayuq kayan, paykuna manaalli resayashqanmi.	Los que rezan aquí tienen la culpa, porque sus oraciones son malas.	CRH-04-069	[['kay[PRON]+chaw[Loc]'], ['resa[V]+kU[Refl/Mid]+q[Agt]+kuna[Pl]+mi[Asrt]'], ['kulpa[N]+yuq[Orn]'], ['ka[AUX]+yaA[VPl]+n[3]'], ['paykuna[PRON.Prs]'], ['manaalli[ADV]'], ['resa[V]+yaA[VPl]+shqa[Prf](N)+n[Poss.3]+mi[Asrt]']]	[[('Kay', 'kay'), ('chaw', 'chaw')], [('resa', 'resa'), ('ku', 'kU'), ('q', 'q'), ('kuna', 'kuna'), ('m', 'mi')], [('kulpa', 'kulpa'), ('yuq', 'yuq')], [('ka', 'ka'), ('ya', 'yaA'), ('n', 'n')], [('paykuna', 'paykuna')], [('manaalli', 'manaalli')], [('resa', 'resa'), ('ya', 'yaA'), ('shqa', 'shqa'), ('n', 'n'), ('mi', 'mi')]]	[['kay[PRON]+chaw[Loc](ADV)', 'kay[PRON]+chaw[Loc]', 'ka[AUX]+y[Inf]+chaw[Loc]'], ['resa[V]+kU[Refl/Mid]+q[Agt]+kuna[Pl]+mi[Asrt]'], ['kulpayuq[UNK]'], ['kaya[VTr]+n[3]', 'ka[AUX]+yaA[VPl]+n[3]'], ['paykuna[PRON.Prs]'], ['manaalli[UNK]'], ['resa[V]+yaA[VPl]+shqa[Prf](N)+n[Poss.3]+mi[Asrt]']]
Haychawmi kaykaanaq Victorina, lumtsiynii, sobrinaa Santa, Reynaldu, Ramón, Damacho i Juan de Dios.	Allí estaban Victoria, mi cuñada, mi sobrina Santa, Reynaldo, Ramón, Damacho y Juan de Dios.	CRH-04-214	[['hay[PRON]+chaw[Loc]+mi[Asrt]'], ['ka[AUX]+YkaA[Prog]+naq[Rpst]'], ['victorina[PROPN]'], ['lumtsiy[N]+ː[Poss.1Sg]'], ['sobrina[N]+ː[Poss.1Sg]'], ['santa[PROPN]'], ['reynaldu[PROPN]'], ['ramón[PROPN]'], ['damacho[PROPN]'], ['i[CCONJ]'], ['juan[PROPN]'], ['de[ADP]'], ['dios[PROPN]']]	[[('Hay', 'hay'), ('chaw', 'chaw'), ('mi', 'mi')], [('ka', 'ka'), ('ykaa', 'YkaA'), ('naq', 'naq')], [('Victorina', 'victorina')], [('lumtsiy', 'lumtsiy'), ('ni', 0), ('i', 'ː')], [('sobrina', 'sobrina'), ('a', 'ː')], [('Santa', 'santa')], [('Reynaldu', 'reynaldu')], [('Ramón', 'ramón')], [('Damacho', 'damacho')], [('i', 'i')], [('Juan', 'juan')], [('de', 'de')], [('Dios', 'dios')]]	[['hay[PRON]+chaw[Loc]+mi[Asrt]', 'hay[PRON]+chaw[Loc](ADV)+mi[Asrt]'], ['ka[AUX]+YkaA[Prog]+naq[Rpst]'], ['victorina[PROPN]'], ['lumtsiynii[UNK]'], ['sobrina[N]+ː[Poss.1Sg]'], ['santa[PROPN]'], ['reynaldu[PROPN]'], ['ramón[PROPN]'], ['damacho[PROPN]'], ['i[CCONJ]'], ['juan[PROPN]'], ['de[ADP]'], ['dios[N]']]
Tsay aywaraykarnam naanitana pantakuykuyaa i aywakuyaanaq kayaa huk ladupa.	Yendo por allí nos equivocamos el camino y fuimos por otro lado.	CRH-05-029	[['tsay[DET]'], ['aywa[VTr]+raA[Dur]+YkaA[Prog]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['naani[N]+ta[Obj]+na[Acp]'], ['panta[VTr]+kU[Refl/Mid]+yku[Intens]+yaA[VPl]+ː[1]'], ['i[CCONJ]'], ['aywa[VTr]+kU[Refl/Mid]+yaA[VPl]+naq[Rpst]'], ['ka[AUX]+yaA[VPl]+ː[1]'], ['huk[DET]'], ['ladu[N]+pa[Prol]']]	[[('Tsay', 'tsay')], [('aywa', 'aywa'), ('ra', 'raA'), ('yka', 'YkaA'), ('r', 'r'), ('na', 'na'), ('m', 'mi')], [('naani', 'naani'), ('ta', 'ta'), ('na', 'na')], [('panta', 'panta'), ('ku', 'kU'), ('yku', 'yku'), ('ya', 'yaA'), ('a', 'ː')], [('i', 'i')], [('aywa', 'aywa'), ('ku', 'kU'), ('yaa', 'yaA'), ('naq', 'naq')], [('ka', 'ka'), ('ya', 'yaA'), ('a', 'ː')], [('huk', 'huk')], [('ladu', 'ladu'), ('pa', 'pa')]]	[['tsay[DET]', 'tsay[PRON]'], ['aywa[VTr]+rI[Pct]+YkaA[Prog]+r[Cnv](N)+na[Acp]+mi[Asrt]', 'aywa[VTr]+raA[Dur]+YkaA[Prog]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['naani[N]+ta[Obj]+na[Acp]'], ['panta[VTr]+kU[Refl/Mid]+yku[Intens]+yaA[VPl]+ː[1]'], ['i[CCONJ]'], ['aywa[VTr]+kU[Refl/Mid]+yaA[VPl]+naq[Rpst]'], ['ka[AUX]+yaA[VPl]+ː[1]', 'kaya[VTr]+ː[1]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['ladu[N]+pa[Prol]', 'ladu[N]+pa[Gen]', 'ladu[N]+pa[Man]']]
Nuqakunanam nunakunata aylluyaamushaq tardi resakunapaq.	Nosotros íbamos a reunir la gente para rezar en la tarde.	CRH-05-090	[['nuqakuna[PRON.Prs]+na[Acp]+mi[Asrt]'], ['nuna[N]+kuna[Pl]+ta[Obj]'], ['ayllu[VTr]+yaA[VPl]+mu[Cis]+shaq[Fut.1]'], ['tardi[N]'], ['resa[V]+kU[Refl/Mid]+na[Pot](N)+paq[Ben]']]	[[('Nuqakuna', 'nuqakuna'), ('na', 'na'), ('m', 'mi')], [('nuna', 'nuna'), ('kuna', 'kuna'), ('ta', 'ta')], [('ayllu', 'ayllu'), ('yaa', 'yaA'), ('mu', 'mu'), ('shaq', 'shaq')], [('tardi', 'tardi')], [('resa', 'resa'), ('ku', 'kU'), ('na', 'na'), ('paq', 'paq')]]	[['nuqakuna[PRON.Prs]+na[Acp]+mi[Asrt]'], ['nuna[N]+kuna[Pl]+ta[Obj]'], ['ayllu[VTr]+yaA[VPl]+mu[Cis]+shaq[Fut.1]', 'ayllu[N]+yaA[Transf](VInt)+mu[Cis]+shaq[Fut.1]'], ['tardi[N]'], ['resa[V]+kU[Refl/Mid]+na[Pot](N)+paq[Ben]']]
I restawrantichawna senayarqaa ishkaa.	Y cenamos los dos en el restaurante.	CRH-06-021	[['i[CCONJ]'], ['restawranti[N]+chaw[Loc]+na[Acp]'], ['sena[V]+yaA[VPl]+rqa[Pst]+ː[1]'], ['ishka[NUM]+ː[Poss.1Sg](Pron.Sets)']]	[[('I', 'i')], [('restawranti', 'restawranti'), ('chaw', 'chaw'), ('na', 'na')], [('sena', 'sena'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('ishka', 'ishka'), ('a', 'ː')]]	[['i[CCONJ]'], ['restawranti[N]+chaw[Loc]+na[Acp]'], ['sena[V]+yaA[VPl]+rqa[Pst]+ː[1]'], ['ishka[N]+ː[Poss.1Sg]', 'ishka[VInt]+ː[1]', 'ishka[NUM]+ː[Poss.1Sg](Pron.Sets)']]
Waraanin quyanam padri nimarqan, “Imanawpis tarimushaqmi eskwelaman kachamunaapaq.”	El día siguiente en la mañana el padre me dijo, “De cualquier manera voy a encontrar a alguien para mandar a la escuela.	CRH-06-039	[['waraanin[ADV]'], ['quya[N]+na[Acp]+mi[Asrt]'], ['padri[N]'], ['ni[VTr]+maA[1.Obj]+rqa[Pst]+n[3]'], ['imanaw[ADV]+pis[Coord]'], ['tari[VTr]+mu[Cis]+shaq[Fut.1]+mi[Asrt]'], ['eskwela[N]+man[Dat]'], ['kacha[VTr]+mu[Cis]+na[Pot](N)+ː[Poss.1Sg]+paq[Ben]']]	[[('Waraanin', 'waraanin')], [('quya', 'quya'), ('na', 'na'), ('m', 'mi')], [('padri', 'padri')], [('ni', 'ni'), ('ma', 'maA'), ('rqa', 'rqa'), ('n', 'n')], [('Imanaw', 'imanaw'), ('pis', 'pis')], [('tari', 'tari'), ('mu', 'mu'), ('shaq', 'shaq'), ('mi', 'mi')], [('eskwela', 'eskwela'), ('man', 'man')], [('kacha', 'kacha'), ('mu', 'mu'), ('na', 'na'), ('a', 'ː'), ('paq', 'paq')]]	[['waraanin[ADV]', 'waraa[VInt]+n[3]'], ['quya[VTr]+na[Pot](N)+mi[Asrt]', 'qu[VTr]+yaA[VPl]+na[Pot](N)+mi[Asrt]', 'quya[N]+na[Acp]+mi[Asrt]'], ['padri[N]'], ['ni[VTr]+maA[1.Obj]+rqa[Pst]+n[3]'], ['imanaw[ADV]+pis(Pron.Indef)'], ['tari[VTr]+mu[Cis]+shaq[Fut.1]+mi[Asrt]'], ['eskwela[N]+man[Dat]'], ['kacha[VTr]+mu[Cis]+na[Pot](N)+ː[Poss.1Sg]+paq[Ben]']]
Unay shuyaraykaptii, porfin yurikamur huk kolektibu Wallankaman, tsaywanmi shamuykuyarqaa alli shuyni limpu polvaderawan tsapashqa.	Después de esperar largo rato, por fin llegó un colectivo que iba a Huallanca y con ese carro fuimos, completamente cubiertos de polvo.	CRH-06-042	[['unay[N]'], ['shuya[VTr]+raA[Dur]+YkaA[Prog]+pti[Cnv](N)+ː[Poss.1Sg]'], ['porfin[ADV]'], ['yuri[VInt]+yku[Intens]+mu[Cis]+r[Cnv](N)'], ['huk[DET]'], ['kolektibu[N]'], ['wallanka[PROPN]+man[Dat]'], ['tsay[PRON.Dem]+wan[Com]+mi[Asrt]'], ['shamu[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+ː[1]'], ['alli[ADJ]'], ['shuyni[ADJ]'], ['limpu[ADJ]'], ['polvadera[N]+wan[Com]'], ['tsapa[VTr]+shqa[Prf](N)']]	[[('Unay', 'unay')], [('shuya', 'shuya'), ('ra', 'raA'), ('yka', 'YkaA'), ('pti', 'pti'), ('i', 'ː')], [('porfin', 'porfin')], [('yuri', 'yuri'), ('ku', 'yku'), ('mu', 'mu'), ('r', 'r')], [('huk', 'huk')], [('kolektibu', 'kolektibu')], [('Wallanka', 'wallanka'), ('man', 'man')], [('tsay', 'tsay'), ('wan', 'wan'), ('mi', 'mi')], [('shamu', 'shamu'), ('yku', 'yku'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('alli', 'alli')], [('shuyni', 'shuyni')], [('limpu', 'limpu')], [('polvadera', 'polvadera'), ('wan', 'wan')], [('tsapa', 'tsapa'), ('shqa', 'shqa')]]	[['unay[N]'], ['shuya[VTr]+rI[Pct]+YkaA[Prog]+pti[Cnv](N)+ː[Poss.1Sg]', 'shuya[VTr]+raA[Dur]+YkaA[Prog]+pti[Cnv](N)+ː[Poss.1Sg]'], ['porfin[ADV]'], ['yuri[VInt]+YkaA[Prog]+mu[Cis]+r[Cnv](N)', 'yuri[VInt]+kU[Refl/Mid]+mu[Cis]+r[Cnv](N)', 'yuri[VInt]+kaA[Pass]+mu[Cis]+r[Cnv](N)', 'yuri[VInt]+yku[Intens]+mu[Cis]+r[Cnv](N)'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['kolektibu[N]'], ['wallankaman[UNK]'], ['tsay[PRON]+wan[Com]+mi[Asrt]', 'tsay[PRON.Dem]+wan[Com]+mi[Asrt]'], ['shamu[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+ː[1]'], ['alli[ADJ]', 'alli[ADV]'], ['shuyni[N]'], ['limpu[ADV]', 'limpu[ADJ]'], ['polvaderawan[UNK]'], ['tsapa[VTr]+shqa[Prf](N)']]
Nuqatapis padrinu qatswaq inbitamarqanmi.	A mí también el padrino me invitó a bailar.	CRH-06-076	[['nuqa[PRON.Prs]+ta[Obj]+pis[Coord]'], ['padrinu[N]'], ['qatswa[VInt]+q[Agt]'], ['inbita[VTr]+maA[1.Obj]+rqa[Pst]+n[3]+mi[Asrt]']]	[[('Nuqa', 'nuqa'), ('ta', 'ta'), ('pis', 'pis')], [('padrinu', 'padrinu')], [('qatswa', 'qatswa'), ('q', 'q')], [('inbita', 'inbita'), ('ma', 'maA'), ('rqa', 'rqa'), ('n', 'n'), ('mi', 'mi')]]	[['nuqa[PRON.Prs]+ta[Obj]+pis[Coord]'], ['padrinu[N]'], ['qatswa[VInt]+q[1.Sbj][2.Obj]', 'qatswa[VInt]+q[Hab]', 'qatswa[VInt]+q[Agt]'], ['inbitamarqanmi[UNK]']]
Tsaymi tsaypita qarqarayaamarqa.	Por eso me botaron de allí.	CRH-06-101	[['tsay[PRON]+mi[Asrt]'], ['tsay[PRON]+pita[Abl]'], ['qarqu[VTr]+rI[Pct]+yaA[VPl]+maA[1.Obj]+rqa[Pst]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('tsay', 'tsay'), ('pita', 'pita')], [('qarqa', 'qarqu'), ('ra', 'rI'), ('yaa', 'yaA'), ('ma', 'maA'), ('rqa', 'rqa')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['tsay[PRON]+pita[Abl](ADV)', 'tsay[PRON]+pita[Abl]'], ['qarqu[VTr]+rI[Pct]+yaA[VPl]+maA[1.Obj]+rqa[Pst]', 'qarqu[VTr]+rI[Pct]+yaA[VPl]+maA[1.Obj]+rqa[Pst][3]', 'qarqu[VTr]+rI[Pct]+yaA[VPl]+maA[1.Obj]+r[Cnv](N)+qa[Top]']]
